date,close
2025-01-01,100.0
2025-01-02,100.5272
2025-01-03,101.0184
2025-01-04,101.4415
2025-01-05,101.7719
2025-01-06,101.9954
2025-01-07,102.1093
2025-01-08,102.1231
2025-01-09,102.0573
2025-01-10,101.9411
2025-01-11,101.8094
2025-01-12,101.6987
2025-01-13,101.6432
2025-01-14,101.671
2025-01-15,101.801
2025-01-16,102.0411
2025-01-17,102.3867
2025-01-18,102.8218
2025-01-19,103.3206
2025-01-20,103.8501
2025-01-21,104.3742
2025-01-22,104.857
2025-01-23,105.2675
2025-01-24,105.5825
2025-01-25,105.7894
2025-01-26,105.8873
2025-01-27,105.8876
2025-01-28,105.8121
2025-01-29,105.6913
2025-01-30,105.5605
2025-01-31,105.456
2025-02-01,105.4114
2025-02-02,105.4536
2025-02-03,105.6
2025-02-04,105.8565
2025-02-05,106.2169
2025-02-06,106.6634
2025-02-07,107.1691
2025-02-08,107.7001
2025-02-09,108.2202
2025-02-10,108.694
2025-02-11,109.0913
2025-02-12,109.3906
2025-02-13,109.5808
2025-02-14,109.6631
2025-02-15,109.6503
2025-02-16,109.5659
2025-02-17,109.4413
2025-02-18,109.3121
2025-02-19,109.2146
2025-02-20,109.1816
2025-02-21,109.2386
2025-02-22,109.4015
2025-02-23,109.6743
2025-02-24,110.049
2025-02-25,110.5064
2025-02-26,111.0181
2025-02-27,111.5499
2025-02-28,112.0651
2025-03-01,112.5292
2025-03-02,112.9129
2025-03-03,113.1962
2025-03-04,113.3698
2025-03-05,113.4367
2025-03-06,113.4114
2025-03-07,113.3188
2025-03-08,113.1911
2025-03-09,113.0645
2025-03-10,112.9747
2025-03-11,112.9538
